Date,Stock name,Open,High,Low,Close*,Adj Close**,Volume,average volume per stock,Higher or lower then average volume,Volume avg,higher closing,higher closing 0 or 1,volatility,Volitity (1 or 0),mv50,Higher MV50,Higher than MVA50,MV100,Higher MVA100,Higher than MVA100,EMA 50,Higher then EMVA,Higher than EMVA 1
43833.00,CokeCola,279.77,287.36,277.48,285.76,284.31,37500.00,46253.14,No,0,Yes,1,No,0,275.60,Yes,1,297.07,No,0,281.49,No,0
43836.00,CokeCola,284.05,286.50,281.64,282.01,280.58,29300.00,46253.14,No,0,No,0,No,0,275.81,Yes,1,296.42,No,0,281.51,No,0
43837.00,CokeCola,281.32,282.56,275.38,279.16,277.74,42400.00,46253.14,No,0,No,0,No,0,275.86,Yes,1,295.69,No,0,281.42,Yes,1
43838.00,CokeCola,278.56,281.70,275.76,277.26,275.85,24800.00,46253.14,No,0,No,0,No,0,275.96,Yes,1,294.99,No,0,281.25,Yes,1
43839.00,CokeCola,278.10,282.37,276.00,276.46,275.06,38500.00,46253.14,No,0,No,0,No,0,276.06,Yes,1,294.19,No,0,281.07,Yes,1
43840.00,CokeCola,278.08,278.08,275.00,275.02,273.63,36400.00,46253.14,No,0,No,0,No,0,276.13,No,0,293.29,No,0,280.83,Yes,1
43843.00,CokeCola,276.00,282.03,276.00,280.69,279.27,33500.00,46253.14,No,0,Yes,1,No,0,276.23,Yes,1,292.41,No,0,280.82,Yes,1
43844.00,CokeCola,279.00,281.60,275.76,277.43,276.02,36800.00,46253.14,No,0,No,0,No,0,276.29,Yes,1,291.52,No,0,280.69,Yes,1
43845.00,CokeCola,277.43,282.16,277.05,278.20,276.79,37400.00,46253.14,No,0,Yes,1,No,0,276.40,Yes,1,290.81,No,0,280.59,Yes,1
43846.00,CokeCola,280.00,286.50,279.41,286.35,284.90,46800.00,46253.14,Yes,1,Yes,1,No,0,276.88,Yes,1,290.11,No,0,280.82,No,0
43847.00,CokeCola,286.98,289.59,278.51,279.30,277.88,43800.00,46253.14,No,0,No,0,No,0,277.17,Yes,1,289.52,No,0,280.76,Yes,1
43851.00,CokeCola,279.30,281.50,278.00,280.79,279.37,23500.00,46253.14,No,0,Yes,1,No,0,277.45,Yes,1,288.94,No,0,280.76,No,0
